parent	child	p.name
CBL	ALK	NCIRAS
CBL	EGFR	NCIRAS
CBL	ERBB2	NCIRAS
CBL	FGFR1	NCIRAS
CBL	FGFR2	NCIRAS
CBL	FGFR3	NCIRAS
CBL	FGFR4	NCIRAS
CBL	FLT3	NCIRAS
CBL	INSR	NCIRAS
CBL	INSRR	NCIRAS
CBL	MET	NCIRAS
CBL	PDGFRA	NCIRAS
CBL	PDGFRB	NCIRAS
CBL	ROS1	NCIRAS
CBLB	ALK	NCIRAS
CBLB	EGFR	NCIRAS
CBLB	ERBB2	NCIRAS
CBLB	FGFR1	NCIRAS
CBLB	FGFR2	NCIRAS
CBLB	FGFR3	NCIRAS
CBLB	FGFR4	NCIRAS
CBLB	FLT3	NCIRAS
CBLB	INSR	NCIRAS
CBLB	INSRR	NCIRAS
CBLB	MET	NCIRAS
CBLB	PDGFRA	NCIRAS
CBLB	PDGFRB	NCIRAS
CBLB	ROS1	NCIRAS
CBLC	ALK	NCIRAS
CBLC	EGFR	NCIRAS
CBLC	ERBB2	NCIRAS
CBLC	FGFR1	NCIRAS
CBLC	FGFR2	NCIRAS
CBLC	FGFR3	NCIRAS
CBLC	FGFR4	NCIRAS
CBLC	FLT3	NCIRAS
CBLC	INSR	NCIRAS
CBLC	INSRR	NCIRAS
CBLC	MET	NCIRAS
CBLC	PDGFRA	NCIRAS
CBLC	PDGFRB	NCIRAS
CBLC	ROS1	NCIRAS
CBL	CBLB	NCIRAS
CBL	CBLC	NCIRAS
CBLB	CBLC	NCIRAS
ALK	EGFR	NCIRAS
ALK	ERBB2	NCIRAS
ALK	FGFR1	NCIRAS
ALK	FGFR2	NCIRAS
ALK	FGFR3	NCIRAS
ALK	FGFR4	NCIRAS
ALK	FLT3	NCIRAS
ALK	INSR	NCIRAS
ALK	INSRR	NCIRAS
ALK	MET	NCIRAS
ALK	PDGFRA	NCIRAS
ALK	PDGFRB	NCIRAS
ALK	ROS1	NCIRAS
EGFR	ERBB2	NCIRAS
EGFR	FGFR1	NCIRAS
EGFR	FGFR2	NCIRAS
EGFR	FGFR3	NCIRAS
EGFR	FGFR4	NCIRAS
EGFR	FLT3	NCIRAS
EGFR	INSR	NCIRAS
EGFR	INSRR	NCIRAS
EGFR	MET	NCIRAS
EGFR	PDGFRA	NCIRAS
EGFR	PDGFRB	NCIRAS
EGFR	ROS1	NCIRAS
ERBB2	FGFR1	NCIRAS
ERBB2	FGFR2	NCIRAS
ERBB2	FGFR3	NCIRAS
ERBB2	FGFR4	NCIRAS
ERBB2	FLT3	NCIRAS
ERBB2	INSR	NCIRAS
ERBB2	INSRR	NCIRAS
ERBB2	MET	NCIRAS
ERBB2	PDGFRA	NCIRAS
ERBB2	PDGFRB	NCIRAS
ERBB2	ROS1	NCIRAS
FGFR1	FGFR2	NCIRAS
FGFR1	FGFR3	NCIRAS
FGFR1	FGFR4	NCIRAS
FGFR1	FLT3	NCIRAS
FGFR1	INSR	NCIRAS
FGFR1	INSRR	NCIRAS
FGFR1	MET	NCIRAS
FGFR1	PDGFRA	NCIRAS
FGFR1	PDGFRB	NCIRAS
FGFR1	ROS1	NCIRAS
FGFR2	FGFR3	NCIRAS
FGFR2	FGFR4	NCIRAS
FGFR2	FLT3	NCIRAS
FGFR2	INSR	NCIRAS
FGFR2	INSRR	NCIRAS
FGFR2	MET	NCIRAS
FGFR2	PDGFRA	NCIRAS
FGFR2	PDGFRB	NCIRAS
FGFR2	ROS1	NCIRAS
FGFR3	FGFR4	NCIRAS
FGFR3	FLT3	NCIRAS
FGFR3	INSR	NCIRAS
FGFR3	INSRR	NCIRAS
FGFR3	MET	NCIRAS
FGFR3	PDGFRA	NCIRAS
FGFR3	PDGFRB	NCIRAS
FGFR3	ROS1	NCIRAS
FGFR4	FLT3	NCIRAS
FGFR4	INSR	NCIRAS
FGFR4	INSRR	NCIRAS
FGFR4	MET	NCIRAS
FGFR4	PDGFRA	NCIRAS
FGFR4	PDGFRB	NCIRAS
FGFR4	ROS1	NCIRAS
FLT3	INSR	NCIRAS
FLT3	INSRR	NCIRAS
FLT3	MET	NCIRAS
FLT3	PDGFRA	NCIRAS
FLT3	PDGFRB	NCIRAS
FLT3	ROS1	NCIRAS
INSR	INSRR	NCIRAS
INSR	MET	NCIRAS
INSR	PDGFRA	NCIRAS
INSR	PDGFRB	NCIRAS
INSR	ROS1	NCIRAS
INSRR	MET	NCIRAS
INSRR	PDGFRA	NCIRAS
INSRR	PDGFRB	NCIRAS
INSRR	ROS1	NCIRAS
MET	PDGFRA	NCIRAS
MET	PDGFRB	NCIRAS
MET	ROS1	NCIRAS
PDGFRA	PDGFRB	NCIRAS
PDGFRA	ROS1	NCIRAS
PDGFRB	ROS1	NCIRAS
ALK	IRS1	NCIRAS
ALK	IRS2	NCIRAS
EGFR	IRS1	NCIRAS
EGFR	IRS2	NCIRAS
ERBB2	IRS1	NCIRAS
ERBB2	IRS2	NCIRAS
FGFR1	IRS1	NCIRAS
FGFR1	IRS2	NCIRAS
FGFR3	IRS1	NCIRAS
FGFR3	IRS2	NCIRAS
FGFR4	IRS1	NCIRAS
FGFR4	IRS2	NCIRAS
FLT3	IRS1	NCIRAS
FLT3	IRS2	NCIRAS
INSR	IRS1	NCIRAS
INSR	IRS2	NCIRAS
INSRR	IRS1	NCIRAS
INSRR	IRS2	NCIRAS
MET	IRS1	NCIRAS
MET	IRS2	NCIRAS
PDGFRA	IRS1	NCIRAS
PDGFRA	IRS2	NCIRAS
PDGFRB	IRS1	NCIRAS
PDGFRB	IRS2	NCIRAS
ROS1	IRS1	NCIRAS
ROS1	IRS2	NCIRAS
IRS1	IRS2	NCIRAS
IRS1	SOS1	NCIRAS
IRS1	SOS2	NCIRAS
IRS1	GRB2	NCIRAS
IRS1	SHC1	NCIRAS
IRS1	SHC2	NCIRAS
IRS1	SHC3	NCIRAS
IRS1	SHC4	NCIRAS
IRS1	RASGRP1	NCIRAS
IRS1	RASGRP2	NCIRAS
IRS1	RASGRP3	NCIRAS
IRS1	RASGRP4	NCIRAS
IRS1	RAPGEF1	NCIRAS
IRS1	RAPGEF2	NCIRAS
IRS1	RASGRF1	NCIRAS
IRS1	RASGRF2	NCIRAS
IRS2	SOS1	NCIRAS
IRS2	SOS2	NCIRAS
IRS2	GRB2	NCIRAS
IRS2	SHC1	NCIRAS
IRS2	SHC2	NCIRAS
IRS2	SHC3	NCIRAS
IRS2	SHC4	NCIRAS
IRS2	RASGRP1	NCIRAS
IRS2	RASGRP2	NCIRAS
IRS2	RASGRP3	NCIRAS
IRS2	RASGRP4	NCIRAS
IRS2	RAPGEF1	NCIRAS
IRS2	RAPGEF2	NCIRAS
IRS2	RASGRF1	NCIRAS
IRS2	RASGRF2	NCIRAS
SOS1	SOS2	NCIRAS
GRB2	SOS1	NCIRAS
SHC1	SOS1	NCIRAS
SHC2	SOS1	NCIRAS
SHC3	SOS1	NCIRAS
SHC4	SOS1	NCIRAS
RASGRP1	SOS1	NCIRAS
RASGRP2	SOS1	NCIRAS
RASGRP3	SOS1	NCIRAS
RASGRP4	SOS1	NCIRAS
RAPGEF1	SOS1	NCIRAS
RAPGEF2	SOS1	NCIRAS
RASGRF1	SOS1	NCIRAS
RASGRF2	SOS1	NCIRAS
GRB2	SOS2	NCIRAS
SHC1	SOS2	NCIRAS
SHC2	SOS2	NCIRAS
SHC3	SOS2	NCIRAS
SHC4	SOS2	NCIRAS
RASGRP1	SOS2	NCIRAS
RASGRP2	SOS2	NCIRAS
RASGRP3	SOS2	NCIRAS
RASGRP4	SOS2	NCIRAS
RAPGEF1	SOS2	NCIRAS
RAPGEF2	SOS2	NCIRAS
RASGRF1	SOS2	NCIRAS
RASGRF2	SOS2	NCIRAS
GRB2	SHC1	NCIRAS
GRB2	SHC2	NCIRAS
GRB2	SHC3	NCIRAS
GRB2	SHC4	NCIRAS
GRB2	RASGRP1	NCIRAS
GRB2	RASGRP2	NCIRAS
GRB2	RASGRP3	NCIRAS
GRB2	RASGRP4	NCIRAS
GRB2	RAPGEF1	NCIRAS
GRB2	RAPGEF2	NCIRAS
GRB2	RASGRF1	NCIRAS
GRB2	RASGRF2	NCIRAS
SHC1	SHC2	NCIRAS
SHC1	SHC3	NCIRAS
SHC1	SHC4	NCIRAS
RASGRP1	SHC1	NCIRAS
RASGRP2	SHC1	NCIRAS
RASGRP3	SHC1	NCIRAS
RASGRP4	SHC1	NCIRAS
RAPGEF1	SHC1	NCIRAS
RAPGEF2	SHC1	NCIRAS
RASGRF1	SHC1	NCIRAS
RASGRF2	SHC1	NCIRAS
SHC2	SHC3	NCIRAS
SHC2	SHC4	NCIRAS
RASGRP1	SHC2	NCIRAS
RASGRP2	SHC2	NCIRAS
RASGRP3	SHC2	NCIRAS
RASGRP4	SHC2	NCIRAS
RAPGEF1	SHC2	NCIRAS
RAPGEF2	SHC2	NCIRAS
RASGRF1	SHC2	NCIRAS
RASGRF2	SHC2	NCIRAS
SHC3	SHC4	NCIRAS
RASGRP1	SHC3	NCIRAS
RASGRP2	SHC3	NCIRAS
RASGRP3	SHC3	NCIRAS
RASGRP4	SHC3	NCIRAS
RAPGEF1	SHC3	NCIRAS
RAPGEF2	SHC3	NCIRAS
RASGRF1	SHC3	NCIRAS
RASGRF2	SHC3	NCIRAS
RASGRP1	SHC4	NCIRAS
RASGRP2	SHC4	NCIRAS
RASGRP3	SHC4	NCIRAS
RASGRP4	SHC4	NCIRAS
RAPGEF1	SHC4	NCIRAS
RAPGEF2	SHC4	NCIRAS
RASGRF1	SHC4	NCIRAS
RASGRF2	SHC4	NCIRAS
RASGRP1	RASGRP2	NCIRAS
RASGRP1	RASGRP3	NCIRAS
RASGRP1	RASGRP4	NCIRAS
RAPGEF1	RASGRP1	NCIRAS
RAPGEF2	RASGRP1	NCIRAS
RASGRF1	RASGRP1	NCIRAS
RASGRF2	RASGRP1	NCIRAS
RASGRP2	RASGRP3	NCIRAS
RASGRP2	RASGRP4	NCIRAS
RAPGEF1	RASGRP2	NCIRAS
RAPGEF2	RASGRP2	NCIRAS
RASGRF1	RASGRP2	NCIRAS
RASGRF2	RASGRP2	NCIRAS
RASGRP3	RASGRP4	NCIRAS
RAPGEF1	RASGRP3	NCIRAS
RAPGEF2	RASGRP3	NCIRAS
RASGRF1	RASGRP3	NCIRAS
RASGRF2	RASGRP3	NCIRAS
RAPGEF1	RASGRP4	NCIRAS
RAPGEF2	RASGRP4	NCIRAS
RASGRF1	RASGRP4	NCIRAS
RASGRF2	RASGRP4	NCIRAS
RAPGEF1	RAPGEF2	NCIRAS
RAPGEF1	RASGRF1	NCIRAS
